DSU,Stage,N,E,ipf,ssf,shuffle,Score,Score Error
Adaptive2/squashing:cross_node_read,2,1000000,4000000,0.02,0.2,true,555641.000,658681.151
Adaptive2/squashing:this_node_read,2,1000000,4000000,0.02,0.2,true,7340383.167,721023.773
Adaptive2/squashing:cross_node_write,2,1000000,4000000,0.02,0.2,true,0.000,0.000
Adaptive2/squashing:this_node_read_success,2,1000000,4000000,0.02,0.2,true,666720.000,681879.004
Adaptive2/squashing:this_node_write,2,1000000,4000000,0.02,0.2,true,40946.167,99579.161
Adaptive2/squashing:global_data_read_write,2,1000000,4000000,0.02,0.2,true,0.000,0.000
Adaptive2/squashing:same_set_requests_true,2,1000000,4000000,0.02,0.2,true,333783.500,351.594
Adaptive2/squashing:same_set_requests_false,2,1000000,4000000,0.02,0.2,true,180.000,108.322
Adaptive2/squashing:union_requests,2,1000000,4000000,0.02,0.2,true,1332820.500,443.108
Adaptive3/squashing,0,1000000,4000000,0.02,0.2,true,1057196.861,184112.396
Adaptive3/squashing:cross_node_read,0,1000000,4000000,0.02,0.2,true,822681.500,875302.412
Adaptive3/squashing:this_node_read,0,1000000,4000000,0.02,0.2,true,6985704.500,737998.445
Adaptive3/squashing:cross_node_write,0,1000000,4000000,0.02,0.2,true,23.667,57.971
Adaptive3/squashing:this_node_read_success,0,1000000,4000000,0.02,0.2,true,1209139.167,397873.542
Adaptive3/squashing:this_node_write,0,1000000,4000000,0.02,0.2,true,12366.667,28850.475
Adaptive3/squashing:global_data_read_write,0,1000000,4000000,0.02,0.2,true,0.000,0.000
Adaptive3/squashing:same_set_requests_true,0,1000000,4000000,0.02,0.2,true,332682.500,344.007
Adaptive3/squashing:same_set_requests_false,0,1000000,4000000,0.02,0.2,true,130.000,113.642
Adaptive3/squashing:union_requests,0,1000000,4000000,0.02,0.2,true,1333779.500,233.878
Adaptive3/squashing,1,1000000,4000000,0.02,0.2,true,1064015.243,179502.946
Adaptive3/squashing:cross_node_read,1,1000000,4000000,0.02,0.2,true,762620.000,755149.131
Adaptive3/squashing:this_node_read,1,1000000,4000000,0.02,0.2,true,6946211.000,683827.127
Adaptive3/squashing:cross_node_write,1,1000000,4000000,0.02,0.2,true,2.167,5.307
Adaptive3/squashing:this_node_read_success,1,1000000,4000000,0.02,0.2,true,1213412.333,397815.506
Adaptive3/squashing:this_node_write,1,1000000,4000000,0.02,0.2,true,7936.833,19132.135
Adaptive3/squashing:global_data_read_write,1,1000000,4000000,0.02,0.2,true,0.000,0.000
Adaptive3/squashing:same_set_requests_true,1,1000000,4000000,0.02,0.2,true,332247.500,302.893
Adaptive3/squashing:same_set_requests_false,1,1000000,4000000,0.02,0.2,true,122.000,132.553
Adaptive3/squashing:union_requests,1,1000000,4000000,0.02,0.2,true,1334222.500,170.342
Adaptive3/squashing,2,1000000,4000000,0.02,0.2,true,1069294.216,185043.994
Adaptive3/squashing:cross_node_read,2,1000000,4000000,0.02,0.2,true,618505.833,504663.874
Adaptive3/squashing:this_node_read,2,1000000,4000000,0.02,0.2,true,7030459.833,728047.079
Adaptive3/squashing:cross_node_write,2,1000000,4000000,0.02,0.2,true,0.000,0.000
Adaptive3/squashing:this_node_read_success,2,1000000,4000000,0.02,0.2,true,1392725.167,570613.783
Adaptive3/squashing:this_node_write,2,1000000,4000000,0.02,0.2,true,24380.333,59347.173
Adaptive3/squashing:global_data_read_write,2,1000000,4000000,0.02,0.2,true,0.000,0.000
Adaptive3/squashing:same_set_requests_true,2,1000000,4000000,0.02,0.2,true,333835.500,302.891
Adaptive3/squashing:same_set_requests_false,2,1000000,4000000,0.02,0.2,true,128.000,140.217
Adaptive3/squashing:union_requests,2,1000000,4000000,0.02,0.2,true,1332820.500,443.108
Adaptive2/halfing,0,1000000,16000000,0.02,0.2,true,2525123.924,676310.723
Adaptive2/halfing:cross_node_read,0,1000000,16000000,0.02,0.2,true,1801821.833,3304817.034
Adaptive2/halfing:this_node_read,0,1000000,16000000,0.02,0.2,true,27878840.333,2146400.268
Adaptive2/halfing:cross_node_write,0,1000000,16000000,0.02,0.2,true,0.000,0.000
Adaptive2/halfing:this_node_read_success,0,1000000,16000000,0.02,0.2,true,701123.167,1257335.204
Adaptive2/halfing:this_node_write,0,1000000,16000000,0.02,0.2,true,0.000,0.000
Adaptive2/halfing:global_data_read_write,0,1000000,16000000,0.02,0.2,true,0.000,0.000
Adaptive2/halfing:same_set_requests_true,0,1000000,16000000,0.02,0.2,true,1332742.000,758.175
Adaptive2/halfing:same_set_requests_false,0,1000000,16000000,0.02,0.2,true,146.500,332.899
Adaptive2/halfing:union_requests,0,1000000,16000000,0.02,0.2,true,5333735.500,550.461
Adaptive2/halfing,1,1000000,16000000,0.02,0.2,true,2521643.669,670314.810
Adaptive2/halfing:cross_node_read,1,1000000,16000000,0.02,0.2,true,1799150.500,3308068.678
Adaptive2/halfing:this_node_read,1,1000000,16000000,0.02,0.2,true,27872312.333,2150479.637
Adaptive2/halfing:cross_node_write,1,1000000,16000000,0.02,0.2,true,0.000,0.000
Adaptive2/halfing:this_node_read_success,1,1000000,16000000,0.02,0.2,true,697518.167,1258777.806
Adaptive2/halfing:this_node_write,1,1000000,16000000,0.02,0.2,true,0.000,0.000
Adaptive2/halfing:global_data_read_write,1,1000000,16000000,0.02,0.2,true,0.000,0.000
Adaptive2/halfing:same_set_requests_true,1,1000000,16000000,0.02,0.2,true,1332508.000,876.972
Adaptive2/halfing:same_set_requests_false,1,1000000,16000000,0.02,0.2,true,149.000,340.991
Adaptive2/halfing:union_requests,1,1000000,16000000,0.02,0.2,true,5333967.000,672.603
Adaptive2/halfing,2,1000000,16000000,0.02,0.2,true,2629363.547,600003.663
Adaptive2/halfing:cross_node_read,2,1000000,16000000,0.02,0.2,true,777962.667,804932.940
Adaptive2/halfing:this_node_read,2,1000000,16000000,0.02,0.2,true,27396339.167,771705.965
Adaptive2/halfing:cross_node_write,2,1000000,16000000,0.02,0.2,true,0.000,0.000
Adaptive2/halfing:this_node_read_success,2,1000000,16000000,0.02,0.2,true,402103.833,436191.372
Adaptive2/halfing:this_node_write,2,1000000,16000000,0.02,0.2,true,61903.667,151550.104
Adaptive2/halfing:global_data_read_write,2,1000000,16000000,0.02,0.2,true,0.000,0.000
Adaptive2/halfing:same_set_requests_true,2,1000000,16000000,0.02,0.2,true,1332735.667,110.101
Adaptive2/halfing:same_set_requests_false,2,1000000,16000000,0.02,0.2,true,24.333,33.025
Adaptive2/halfing:union_requests,2,1000000,16000000,0.02,0.2,true,5333992.000,95.304
Adaptive3/halfing,0,1000000,16000000,0.02,0.2,true,2360843.895,592578.975
Adaptive3/halfing:cross_node_read,0,1000000,16000000,0.02,0.2,true,1763380.667,1986290.990
Adaptive3/halfing:this_node_read,0,1000000,16000000,0.02,0.2,true,26228497.500,1644931.558
Adaptive3/halfing:cross_node_write,0,1000000,16000000,0.02,0.2,true,0.000,0.000
Adaptive3/halfing:this_node_read_success,0,1000000,16000000,0.02,0.2,true,3610367.833,578224.384
Adaptive3/halfing:this_node_write,0,1000000,16000000,0.02,0.2,true,36899.333,89412.785
Adaptive3/halfing:global_data_read_write,0,1000000,16000000,0.02,0.2,true,0.000,0.000
Adaptive3/halfing:same_set_requests_true,0,1000000,16000000,0.02,0.2,true,1332888.500,550.461
Adaptive3/halfing:same_set_requests_false,0,1000000,16000000,0.02,0.2,true,0.000,0.000
Adaptive3/halfing:union_requests,0,1000000,16000000,0.02,0.2,true,5333735.500,550.461
Adaptive3/halfing,1,1000000,16000000,0.02,0.2,true,2412728.410,558298.701
Adaptive3/halfing:cross_node_read,1,1000000,16000000,0.02,0.2,true,1349854.833,1025095.738
Adaptive3/halfing:this_node_read,1,1000000,16000000,0.02,0.2,true,25890624.167,868660.083
Adaptive3/halfing:cross_node_write,1,1000000,16000000,0.02,0.2,true,0.000,0.000
Adaptive3/halfing:this_node_read_success,1,1000000,16000000,0.02,0.2,true,3489708.167,296397.392
Adaptive3/halfing:this_node_write,1,1000000,16000000,0.02,0.2,true,9851.500,24117.433
Adaptive3/halfing:global_data_read_write,1,1000000,16000000,0.02,0.2,true,0.000,0.000
