DSU,N,E,interpairFraction,sameSetFraction,Score,Score Error
ParallelUnions/squashing:union_requests,1000000,64000000,0.020,0.200,64000586.500,622.761
Adaptive2/squashing,1000000,64000000,0.020,0.200,2415234.456,620205.986
Adaptive2/squashing:cross_node_read,1000000,64000000,0.020,0.200,4113829.333,280729.997
Adaptive2/squashing:this_node_read,1000000,64000000,0.020,0.200,329884599.167,442000.959
Adaptive2/squashing:cross_node_write,1000000,64000000,0.020,0.200,17270.000,76.215
Adaptive2/squashing:this_node_read_success,1000000,64000000,0.020,0.200,5010517.333,36122.463
Adaptive2/squashing:this_node_write,1000000,64000000,0.020,0.200,2724568.833,86385.013
Adaptive2/squashing:global_data_read_write,1000000,64000000,0.020,0.200,0.000,0.000
Adaptive2/squashing:same_set_requests_true,1000000,64000000,0.020,0.200,15748335.333,201.228
Adaptive2/squashing:same_set_requests_false,1000000,64000000,0.020,0.200,251078.167,425.872
Adaptive2/squashing:union_requests,1000000,64000000,0.020,0.200,64000586.500,622.761
Adaptive3/squashing,1000000,64000000,0.020,0.200,2034677.557,395095.854
Adaptive3/squashing:cross_node_read,1000000,64000000,0.020,0.200,10903239.167,521255.574
Adaptive3/squashing:this_node_read,1000000,64000000,0.020,0.200,313735383.333,1147270.180
Adaptive3/squashing:cross_node_write,1000000,64000000,0.020,0.200,16999.333,49.726
Adaptive3/squashing:this_node_read_success,1000000,64000000,0.020,0.200,45429596.333,48856.489
Adaptive3/squashing:this_node_write,1000000,64000000,0.020,0.200,2853019.667,270033.911
Adaptive3/squashing:global_data_read_write,1000000,64000000,0.020,0.200,0.000,0.000
Adaptive3/squashing:same_set_requests_true,1000000,64000000,0.020,0.200,15749608.167,157.116
Adaptive3/squashing:same_set_requests_false,1000000,64000000,0.020,0.200,249805.333,485.151
Adaptive3/squashing:union_requests,1000000,64000000,0.020,0.200,64000586.500,622.761
Usual,1000000,4000000,0.100,0.200,1544612.167,121446.380
Usual:cross_node_read,1000000,4000000,0.100,0.200,0.000,0.000
Usual:this_node_read,1000000,4000000,0.100,0.200,0.000,0.000
Usual:cross_node_write,1000000,4000000,0.100,0.200,0.000,0.000
Usual:this_node_read_success,1000000,4000000,0.100,0.200,0.000,0.000
Usual:this_node_write,1000000,4000000,0.100,0.200,0.000,0.000
Usual:global_data_read_write,1000000,4000000,0.100,0.200,0.000,0.000
Usual:same_set_requests_true,1000000,4000000,0.100,0.200,750651.167,163.168
Usual:same_set_requests_false,1000000,4000000,0.100,0.200,249470.833,349.278
Usual:union_requests,1000000,4000000,0.100,0.200,3999846.000,196.085
ParallelUnions/halfing,1000000,4000000,0.100,0.200,1650460.719,181530.878
ParallelUnions/halfing:cross_node_read,1000000,4000000,0.100,0.200,999756.333,19.149
ParallelUnions/halfing:this_node_read,1000000,4000000,0.100,0.200,22703231.667,327735.530
ParallelUnions/halfing:cross_node_write,1000000,4000000,0.100,0.200,1999301.000,12.050
ParallelUnions/halfing:this_node_read_success,1000000,4000000,0.100,0.200,0.000,0.000
ParallelUnions/halfing:this_node_write,1000000,4000000,0.100,0.200,3416718.000,138617.062
ParallelUnions/halfing:global_data_read_write,1000000,4000000,0.100,0.200,2000708.833,125.608
ParallelUnions/halfing:same_set_requests_true,1000000,4000000,0.100,0.200,750588.667,311.424
ParallelUnions/halfing:same_set_requests_false,1000000,4000000,0.100,0.200,249533.333,504.840
ParallelUnions/halfing:union_requests,1000000,4000000,0.100,0.200,3999846.000,196.085
Adaptive2/halfing,1000000,4000000,0.100,0.200,1372767.538,161119.056
Adaptive2/halfing:cross_node_read,1000000,4000000,0.100,0.200,1842330.833,26025.100
Adaptive2/halfing:this_node_read,1000000,4000000,0.100,0.200,27198889.333,293675.721
Adaptive2/halfing:cross_node_write,1000000,4000000,0.100,0.200,77498.500,187.208
Adaptive2/halfing:this_node_read_success,1000000,4000000,0.100,0.200,4035287.167,4932.041
Adaptive2/halfing:this_node_write,1000000,4000000,0.100,0.200,2403113.000,148426.218
Adaptive2/halfing:global_data_read_write,1000000,4000000,0.100,0.200,0.000,0.000
Adaptive2/halfing:same_set_requests_true,1000000,4000000,0.100,0.200,745295.167,1155.473
Adaptive2/halfing:same_set_requests_false,1000000,4000000,0.100,0.200,254826.833,960.872
Adaptive2/halfing:union_requests,1000000,4000000,0.100,0.200,3999846.000,196.085
Adaptive3/halfing,1000000,4000000,0.100,0.200,1138054.594,177789.354
Adaptive3/halfing:cross_node_read,1000000,4000000,0.100,0.200,2103230.167,68867.245
Adaptive3/halfing:this_node_read,1000000,4000000,0.100,0.200,26832196.000,130676.627
Adaptive3/halfing:cross_node_write,1000000,4000000,0.100,0.200,80370.667,1149.714
Adaptive3/halfing:this_node_read_success,1000000,4000000,0.100,0.200,7185766.167,64941.625
Adaptive3/halfing:this_node_write,1000000,4000000,0.100,0.200,2569700.500,80916.121
Adaptive3/halfing:global_data_read_write,1000000,4000000,0.100,0.200,0.000,0.000
Adaptive3/halfing:same_set_requests_true,1000000,4000000,0.100,0.200,750446.667,353.155
Adaptive3/halfing:same_set_requests_false,1000000,4000000,0.100,0.200,249675.333,548.306
Adaptive3/halfing:union_requests,1000000,4000000,0.100,0.200,3999846.000,196.085
ParallelUnions/squashing,1000000,4000000,0.100,0.200,1494472.750,152840.444
ParallelUnions/squashing:cross_node_read,1000000,4000000,0.100,0.200,999770.833,14.999
ParallelUnions/squashing:this_node_read,1000000,4000000,0.100,0.200,22902677.000,46600.565
ParallelUnions/squashing:cross_node_write,1000000,4000000,0.100,0.200,1999301.000,12.050
ParallelUnions/squashing:this_node_read_success,1000000,4000000,0.100,0.200,0.000,0.000
ParallelUnions/squashing:this_node_write,1000000,4000000,0.100,0.200,3548143.167,20494.751
ParallelUnions/squashing:global_data_read_write,1000000,4000000,0.100,0.200,2000941.000,93.078
ParallelUnions/squashing:same_set_requests_true,1000000,4000000,0.100,0.200,750573.167,470.611
ParallelUnions/squashing:same_set_requests_false,1000000,4000000,0.100,0.200,249548.833,666.339
ParallelUnions/squashing:union_requests,1000000,4000000,0.100,0.200,3999846.000,196.085
Adaptive2/squashing,1000000,4000000,0.100,0.200,1375482.018,211551.563
Adaptive2/squashing:cross_node_read,1000000,4000000,0.100,0.200,1771634.000,20576.271
Adaptive2/squashing:this_node_read,1000000,4000000,0.100,0.200,27234192.833,202767.500
Adaptive2/squashing:cross_node_write,1000000,4000000,0.100,0.200,79112.667,516.748
Adaptive2/squashing:this_node_read_success,1000000,4000000,0.100,0.200,4062146.333,15943.789
Adaptive2/squashing:this_node_write,1000000,4000000,0.100,0.200,2246931.833,87753.240
Adaptive2/squashing:global_data_read_write,1000000,4000000,0.100,0.200,0.000,0.000
Adaptive2/squashing:same_set_requests_true,1000000,4000000,0.100,0.200,746239.000,136.678
Adaptive2/squashing:same_set_requests_false,1000000,4000000,0.100,0.200,253883.000,283.423
Adaptive2/squashing:union_requests,1000000,4000000,0.100,0.200,3999846.000,196.085
Adaptive3/squashing,1000000,4000000,0.100,0.200,1153137.626,181089.722
Adaptive3/squashing:cross_node_read,1000000,4000000,0.100,0.200,2043345.333,5956.555
Adaptive3/squashing:this_node_read,1000000,4000000,0.100,0.200,26853409.500,129410.288
Adaptive3/squashing:cross_node_write,1000000,4000000,0.100,0.200,79552.167,329.601
Adaptive3/squashing:this_node_read_success,1000000,4000000,0.100,0.200,7162450.667,23537.249
Adaptive3/squashing:this_node_write,1000000,4000000,0.100,0.200,2417252.833,57281.316
Adaptive3/squashing:global_data_read_write,1000000,4000000,0.100,0.200,0.000,0.000
Adaptive3/squashing:same_set_requests_true,1000000,4000000,0.100,0.200,750802.333,552.456
Adaptive3/squashing:same_set_requests_false,1000000,4000000,0.100,0.200,249319.667,748.161
Adaptive3/squashing:union_requests,1000000,4000000,0.100,0.200,3999846.000,196.085
Usual,1000000,16000000,0.100,0.200,3001961.371,352279.324
Usual:cross_node_read,1000000,16000000,0.100,0.200,0.000,0.000
Usual:this_node_read,1000000,16000000,0.100,0.200,0.000,0.000
Usual:cross_node_write,1000000,16000000,0.100,0.200,0.000,0.000
Usual:this_node_read_success,1000000,16000000,0.100,0.200,0.000,0.000
Usual:this_node_write,1000000,16000000,0.100,0.200,0.000,0.000
Usual:global_data_read_write,1000000,16000000,0.100,0.200,0.000,0.000
Usual:same_set_requests_true,1000000,16000000,0.100,0.200,3751159.833,629.126
Usual:same_set_requests_false,1000000,16000000,0.100,0.200,249589.667,133.506
Usual:union_requests,1000000,16000000,0.100,0.200,15999250.500,748.737
ParallelUnions/halfing,1000000,16000000,0.100,0.200,2377555.241,326527.126
ParallelUnions/halfing:cross_node_read,1000000,16000000,0.100,0.200,1000105.000,27.466
ParallelUnions/halfing:this_node_read,1000000,16000000,0.100,0.200,73108344.167,1557385.926
ParallelUnions/halfing:cross_node_write,1000000,16000000,0.100,0.200,1999998.000,0.000
ParallelUnions/halfing:this_node_read_success,1000000,16000000,0.100,0.200,0.000,0.000
ParallelUnions/halfing:this_node_write,1000000,16000000,0.100,0.200,4333004.833,630922.940
ParallelUnions/halfing:global_data_read_write,1000000,16000000,0.100,0.200,2001533.833,319.896
ParallelUnions/halfing:same_set_requests_true,1000000,16000000,0.100,0.200,3751128.000,862.559
ParallelUnions/halfing:same_set_requests_false,1000000,16000000,0.100,0.200,249621.500,143.970
ParallelUnions/halfing:union_requests,1000000,16000000,0.100,0.200,15999250.500,748.737
Adaptive2/halfing,1000000,16000000,0.100,0.200,2096469.611,319012.035
Adaptive2/halfing:cross_node_read,1000000,16000000,0.100,0.200,4112433.167,532574.960
Adaptive2/halfing:this_node_read,1000000,16000000,0.100,0.200,90050597.500,1278320.203
Adaptive2/halfing:cross_node_write,1000000,16000000,0.100,0.200,79695.500,262.949
Adaptive2/halfing:this_node_read_success,1000000,16000000,0.100,0.200,4993963.167,322404.834
Adaptive2/halfing:this_node_write,1000000,16000000,0.100,0.200,3170485.833,573252.083
Adaptive2/halfing:global_data_read_write,1000000,16000000,0.100,0.200,0.000,0.000
Adaptive2/halfing:same_set_requests_true,1000000,16000000,0.100,0.200,3745336.167,1775.214
Adaptive2/halfing:same_set_requests_false,1000000,16000000,0.100,0.200,255413.333,2517.212
Adaptive2/halfing:union_requests,1000000,16000000,0.100,0.200,15999250.500,748.737
Adaptive3/halfing,1000000,16000000,0.100,0.200,1771606.918,354176.935
Adaptive3/halfing:cross_node_read,1000000,16000000,0.100,0.200,5936085.500,595453.955
Adaptive3/halfing:this_node_read,1000000,16000000,0.100,0.200,86377329.833,1001112.888
Adaptive3/halfing:cross_node_write,1000000,16000000,0.100,0.200,81087.333,486.105
Adaptive3/halfing:this_node_read_success,1000000,16000000,0.100,0.200,15184563.167,29867.011
Adaptive3/halfing:this_node_write,1000000,16000000,0.100,0.200,3145340.667,296284.639
Adaptive3/halfing:global_data_read_write,1000000,16000000,0.100,0.200,0.000,0.000
Adaptive3/halfing:same_set_requests_true,1000000,16000000,0.100,0.200,3751218.500,529.944
Adaptive3/halfing:same_set_requests_false,1000000,16000000,0.100,0.200,249531.000,222.278
Adaptive3/halfing:union_requests,1000000,16000000,0.100,0.200,15999250.500,748.737
ParallelUnions/squashing,1000000,16000000,0.100,0.200,2225269.322,432869.306
ParallelUnions/squashing:cross_node_read,1000000,16000000,0.100,0.200,1000125.333,35.708
ParallelUnions/squashing:this_node_read,1000000,16000000,0.100,0.200,73073437.000,1952487.330
ParallelUnions/squashing:cross_node_write,1000000,16000000,0.100,0.200,1999998.000,0.000
ParallelUnions/squashing:this_node_read_success,1000000,16000000,0.100,0.200,0.000,0.000
ParallelUnions/squashing:this_node_write,1000000,16000000,0.100,0.200,4402123.833,826034.873
