DSU,N,E,interpairFraction,sameSetFraction,Score,Score Error
LazyUnions/squashing,1000000,4000000,0.100,0.200,2014017.698,600809.405
Usual,1000000,16000000,0.100,0.200,3606403.720,192590.378
SeveralDSU,1000000,16000000,0.100,0.200,3734180.477,142367.488
ParallelUnions/halfing,1000000,16000000,0.100,0.200,4118516.296,111844.998
Adaptive/halfing,1000000,16000000,0.100,0.200,4080587.842,131503.200
AdaptiveLocks/halfing,1000000,16000000,0.100,0.200,4030833.488,71268.731
LazyUnions/halfing,1000000,16000000,0.100,0.200,3875816.767,208534.842
ParallelUnions/squashing,1000000,16000000,0.100,0.200,3993680.949,232958.497
Adaptive/squashing,1000000,16000000,0.100,0.200,4020818.638,143221.623
AdaptiveLocks/squashing,1000000,16000000,0.100,0.200,3990474.624,111817.077
LazyUnions/squashing,1000000,16000000,0.100,0.200,3684428.380,445777.410
Usual,1000000,64000000,0.100,0.200,4326513.747,95990.875
SeveralDSU,1000000,64000000,0.100,0.200,4332374.837,33863.641
ParallelUnions/halfing,1000000,64000000,0.100,0.200,4524386.346,67075.773
Adaptive/halfing,1000000,64000000,0.100,0.200,4339890.007,50510.093
AdaptiveLocks/halfing,1000000,64000000,0.100,0.200,4331124.667,48302.583
LazyUnions/halfing,1000000,64000000,0.100,0.200,4101741.979,175107.159
ParallelUnions/squashing,1000000,64000000,0.100,0.200,4480723.195,105033.397
Adaptive/squashing,1000000,64000000,0.100,0.200,4343418.676,65135.020
AdaptiveLocks/squashing,1000000,64000000,0.100,0.200,4306629.732,38189.048
LazyUnions/squashing,1000000,64000000,0.100,0.200,4200823.184,165970.188
Usual,1000000,4000000,0.300,0.200,2269928.562,42813.667
SeveralDSU,1000000,4000000,0.300,0.200,2267975.378,56817.613
ParallelUnions/halfing,1000000,4000000,0.300,0.200,2860179.392,201255.485
Adaptive/halfing,1000000,4000000,0.300,0.200,3053236.648,215784.682
AdaptiveLocks/halfing,1000000,4000000,0.300,0.200,3089165.215,83880.798
LazyUnions/halfing,1000000,4000000,0.300,0.200,2664263.697,180296.373
ParallelUnions/squashing,1000000,4000000,0.300,0.200,2758805.046,143850.479
Adaptive/squashing,1000000,4000000,0.300,0.200,2935338.952,184742.905
AdaptiveLocks/squashing,1000000,4000000,0.300,0.200,2897811.018,279133.265
LazyUnions/squashing,1000000,4000000,0.300,0.200,2836917.056,273912.810
Usual,1000000,16000000,0.300,0.200,3366409.486,280998.612
SeveralDSU,1000000,16000000,0.300,0.200,3454422.589,60118.956
ParallelUnions/halfing,1000000,16000000,0.300,0.200,4036396.470,58858.909
Adaptive/halfing,1000000,16000000,0.300,0.200,3933307.734,136996.812
AdaptiveLocks/halfing,1000000,16000000,0.300,0.200,3969977.345,41074.925
LazyUnions/halfing,1000000,16000000,0.300,0.200,3755033.029,122676.369
ParallelUnions/squashing,1000000,16000000,0.300,0.200,3972628.086,171155.469
Adaptive/squashing,1000000,16000000,0.300,0.200,3960157.872,160162.869
AdaptiveLocks/squashing,1000000,16000000,0.300,0.200,3934394.805,106142.547
LazyUnions/squashing,1000000,16000000,0.300,0.200,3799792.335,141083.229
Usual,1000000,64000000,0.300,0.200,4231041.178,84140.926
SeveralDSU,1000000,64000000,0.300,0.200,4300040.758,55374.882
ParallelUnions/halfing,1000000,64000000,0.300,0.200,4464102.803,35319.085
Adaptive/halfing,1000000,64000000,0.300,0.200,4333872.053,52020.764
AdaptiveLocks/halfing,1000000,64000000,0.300,0.200,4295428.586,32810.759
LazyUnions/halfing,1000000,64000000,0.300,0.200,4144326.961,71551.682
ParallelUnions/squashing,1000000,64000000,0.300,0.200,4358951.220,61887.029
Adaptive/squashing,1000000,64000000,0.300,0.200,4266673.617,58873.585
AdaptiveLocks/squashing,1000000,64000000,0.300,0.200,4245072.953,44585.557
LazyUnions/squashing,1000000,64000000,0.300,0.200,4100731.487,69609.325
Usual,1000000,4000000,0.500,0.200,1934322.173,350956.387
SeveralDSU,1000000,4000000,0.500,0.200,2203440.010,71091.916
ParallelUnions/halfing,1000000,4000000,0.500,0.200,2693781.318,217945.792
Adaptive/halfing,1000000,4000000,0.500,0.200,2874174.978,195977.911
AdaptiveLocks/halfing,1000000,4000000,0.500,0.200,2867277.441,162094.606
LazyUnions/halfing,1000000,4000000,0.500,0.200,2046969.706,758485.866
ParallelUnions/squashing,1000000,4000000,0.500,0.200,2230482.766,586820.688
Adaptive/squashing,1000000,4000000,0.500,0.200,2500205.908,507449.653
AdaptiveLocks/squashing,1000000,4000000,0.500,0.200,2658816.167,408245.731
LazyUnions/squashing,1000000,4000000,0.500,0.200,2046848.323,928060.154
Usual,1000000,16000000,0.500,0.200,3570161.941,59151.796
SeveralDSU,1000000,16000000,0.500,0.200,3664050.307,46131.310
ParallelUnions/halfing,1000000,16000000,0.500,0.200,4015409.236,63613.041
Adaptive/halfing,1000000,16000000,0.500,0.200,3912720.083,130812.056
AdaptiveLocks/halfing,1000000,16000000,0.500,0.200,3915067.543,57354.415
LazyUnions/halfing,1000000,16000000,0.500,0.200,3601394.482,135782.633
ParallelUnions/squashing,1000000,16000000,0.500,0.200,3822435.641,179685.443
Adaptive/squashing,1000000,16000000,0.500,0.200,3874594.160,149508.669
AdaptiveLocks/squashing,1000000,16000000,0.500,0.200,3863780.992,79147.484
LazyUnions/squashing,1000000,16000000,0.500,0.200,3575342.723,275192.221
Usual,1000000,64000000,0.500,0.200,4269079.207,103248.494
SeveralDSU,1000000,64000000,0.500,0.200,4267392.204,60021.172
ParallelUnions/halfing,1000000,64000000,0.500,0.200,4466937.406,62216.900
Adaptive/halfing,1000000,64000000,0.500,0.200,4294988.465,59964.669
AdaptiveLocks/halfing,1000000,64000000,0.500,0.200,4269304.742,45351.355
LazyUnions/halfing,1000000,64000000,0.500,0.200,4016483.559,276354.079
ParallelUnions/squashing,1000000,64000000,0.500,0.200,4386262.392,95063.922
Adaptive/squashing,1000000,64000000,0.500,0.200,4275557.371,86953.850
AdaptiveLocks/squashing,1000000,64000000,0.500,0.200,4275766.184,65844.460
LazyUnions/squashing,1000000,64000000,0.500,0.200,3962622.605,332201.050
Usual,1000000,4000000,0.100,0.300,2231978.185,153127.551
