DSU,N,E,ipf,ssf,shuffle,Score,Score Error
ParallelUnions/squashing,1000000,8000000,0.1,0.2,true,2917146.121,128260.158
ParallelUnions/squashing:hist_begin,1000000,8000000,0.1,0.2,true,0,0
ParallelUnions/squashing:hist_end,1000000,8000000,0.1,0.2,true,0,0
Adaptive2/squashing,1000000,8000000,0.1,0.2,true,3131124.493,134554.951
Adaptive2/squashing:hist_begin,1000000,8000000,0.1,0.2,true,0,0
Adaptive2/squashing:hist_end,1000000,8000000,0.1,0.2,true,0,0
Adaptive3/squashing,1000000,8000000,0.1,0.2,true,3198450.301,74981.683
Adaptive3/squashing:hist_begin,1000000,8000000,0.1,0.2,true,0,0
Adaptive3/squashing:hist_end,1000000,8000000,0.1,0.2,true,0,0
Usual,1000000,16000000,0.1,0.2,true,3259463.391,398878.207
Usual:hist_begin,1000000,16000000,0.1,0.2,true,0,0
Usual:hist_end,1000000,16000000,0.1,0.2,true,0,0
ParallelUnions/squashing,1000000,16000000,0.1,0.2,true,3742732.376,250129.048
ParallelUnions/squashing:hist_begin,1000000,16000000,0.1,0.2,true,0,0
ParallelUnions/squashing:hist_end,1000000,16000000,0.1,0.2,true,0,0
Adaptive2/squashing,1000000,16000000,0.1,0.2,true,3607282.021,188908.745
Adaptive2/squashing:hist_begin,1000000,16000000,0.1,0.2,true,0,0
Adaptive2/squashing:hist_end,1000000,16000000,0.1,0.2,true,0,0
Adaptive3/squashing,1000000,16000000,0.1,0.2,true,3657204.523,103015.886
Adaptive3/squashing:hist_begin,1000000,16000000,0.1,0.2,true,0,0
Adaptive3/squashing:hist_end,1000000,16000000,0.1,0.2,true,0,0
Usual,1000000,1000000,0.02,0.35,true,1173813.651,63441.714
Usual:hist_begin,1000000,1000000,0.02,0.35,true,0,0
Usual:hist_end,1000000,1000000,0.02,0.35,true,0,0
ParallelUnions/squashing,1000000,1000000,0.02,0.35,true,1851309.794,242116.553
ParallelUnions/squashing:hist_begin,1000000,1000000,0.02,0.35,true,0,0
ParallelUnions/squashing:hist_end,1000000,1000000,0.02,0.35,true,0,0
Adaptive2/squashing,1000000,1000000,0.02,0.35,true,2319013.082,139015.862
Adaptive2/squashing:hist_begin,1000000,1000000,0.02,0.35,true,0,0
Adaptive2/squashing:hist_end,1000000,1000000,0.02,0.35,true,0,0
Adaptive3/squashing,1000000,1000000,0.02,0.35,true,2261149.456,160026.711
Adaptive3/squashing:hist_begin,1000000,1000000,0.02,0.35,true,0,0
