DSU,N,E,ipf,ssf,shuffle,Score,Score Error
Usual:this_node_read,1000000,2000000,0.02,0.2,true,0.000,0.000
Usual:cross_node_write,1000000,2000000,0.02,0.2,true,0.000,0.000
Usual:this_node_read_success,1000000,2000000,0.02,0.2,true,0.000,0.000
Usual:this_node_write,1000000,2000000,0.02,0.2,true,0.000,0.000
Usual:global_data_read_write,1000000,2000000,0.02,0.2,true,0.000,0.000
Usual:same_set_requests_true,1000000,2000000,0.02,0.2,true,254543.667,681.195
Usual:same_set_requests_false,1000000,2000000,0.02,0.2,true,245074.333,245.109
Usual:union_requests,1000000,2000000,0.02,0.2,true,2499920.000,0.000
Usual:hist_begin,1000000,2000000,0.02,0.2,true,324,0
Usual:hist_end,1000000,2000000,0.02,0.2,true,360,0
ParallelUnions/halfing,1000000,2000000,0.02,0.2,true,864646.671,89641.153
ParallelUnions/halfing:cross_node_read,1000000,2000000,0.02,0.2,true,981105.333,94.933
ParallelUnions/halfing:this_node_read,1000000,2000000,0.02,0.2,true,12112504.833,710113.868
ParallelUnions/halfing:cross_node_write,1000000,2000000,0.02,0.2,true,1961987.000,196.085
ParallelUnions/halfing:this_node_read_success,1000000,2000000,0.02,0.2,true,0.000,0.000
ParallelUnions/halfing:this_node_write,1000000,2000000,0.02,0.2,true,3225859.167,158555.179
ParallelUnions/halfing:global_data_read_write,1000000,2000000,0.02,0.2,true,1963694.833,248.179
ParallelUnions/halfing:same_set_requests_true,1000000,2000000,0.02,0.2,true,254630.000,287.741
ParallelUnions/halfing:same_set_requests_false,1000000,2000000,0.02,0.2,true,244988.000,174.030
ParallelUnions/halfing:union_requests,1000000,2000000,0.02,0.2,true,2499920.000,0.000
ParallelUnions/halfing:hist_begin,1000000,2000000,0.02,0.2,true,360,0
ParallelUnions/halfing:hist_end,1000000,2000000,0.02,0.2,true,396,0
Adaptive2/halfing,1000000,2000000,0.02,0.2,true,1008247.602,183336.823
Adaptive2/halfing:cross_node_read,1000000,2000000,0.02,0.2,true,697682.500,57325.179
Adaptive2/halfing:this_node_read,1000000,2000000,0.02,0.2,true,16800096.833,519060.698
Adaptive2/halfing:cross_node_write,1000000,2000000,0.02,0.2,true,17152.667,113.724
Adaptive2/halfing:this_node_read_success,1000000,2000000,0.02,0.2,true,3903381.500,30772.659
Adaptive2/halfing:this_node_write,1000000,2000000,0.02,0.2,true,2302794.667,336125.502
Adaptive2/halfing:global_data_read_write,1000000,2000000,0.02,0.2,true,0.000,0.000
Adaptive2/halfing:same_set_requests_true,1000000,2000000,0.02,0.2,true,254650.500,165.351
Adaptive2/halfing:same_set_requests_false,1000000,2000000,0.02,0.2,true,244967.500,285.107
Adaptive2/halfing:union_requests,1000000,2000000,0.02,0.2,true,2499920.000,0.000
Adaptive2/halfing:hist_begin,1000000,2000000,0.02,0.2,true,396,0
Adaptive2/halfing:hist_end,1000000,2000000,0.02,0.2,true,432,0
Adaptive3/halfing,1000000,2000000,0.02,0.2,true,818601.715,209440.893
Adaptive3/halfing:cross_node_read,1000000,2000000,0.02,0.2,true,808301.667,70045.207
Adaptive3/halfing:this_node_read,1000000,2000000,0.02,0.2,true,16192421.500,334386.990
Adaptive3/halfing:cross_node_write,1000000,2000000,0.02,0.2,true,16928.333,104.859
Adaptive3/halfing:this_node_read_success,1000000,2000000,0.02,0.2,true,5711284.667,17645.923
Adaptive3/halfing:this_node_write,1000000,2000000,0.02,0.2,true,2249666.167,185420.161
Adaptive3/halfing:global_data_read_write,1000000,2000000,0.02,0.2,true,0.000,0.000
Adaptive3/halfing:same_set_requests_true,1000000,2000000,0.02,0.2,true,254586.500,353.608
Adaptive3/halfing:same_set_requests_false,1000000,2000000,0.02,0.2,true,245031.500,88.836
Adaptive3/halfing:union_requests,1000000,2000000,0.02,0.2,true,2499920.000,0.000
Adaptive3/halfing:hist_begin,1000000,2000000,0.02,0.2,true,432,0
Adaptive3/halfing:hist_end,1000000,2000000,0.02,0.2,true,468,0
AdaptiveSmart/halfing,1000000,2000000,0.02,0.2,true,1234510.270,241008.166
AdaptiveSmart/halfing:cross_node_read,1000000,2000000,0.02,0.2,true,270340.333,12637.224
AdaptiveSmart/halfing:this_node_read,1000000,2000000,0.02,0.2,true,12621818.333,485156.572
AdaptiveSmart/halfing:cross_node_write,1000000,2000000,0.02,0.2,true,16961.333,202.003
AdaptiveSmart/halfing:this_node_read_success,1000000,2000000,0.02,0.2,true,367932.000,28337.222
